,urlkey,number_of_pages,0,1,2,3,4,5,6,7,8,9,domain
207,"au,gov,vic,cenitex,workplace",16,au,gov,vic,cenitex,workplace,,,,,,workplace.cenitex.vic.gov.au
208,"au,gov,vic,vact",1,au,gov,vic,vact,,,,,,,vact.vic.gov.au
209,"au,gov,nsw,sl,thebridge",12,au,gov,nsw,sl,thebridge,,,,,,thebridge.sl.nsw.gov.au
210,"au,gov,nma,insideblog",1565,au,gov,nma,insideblog,,,,,,,insideblog.nma.gov.au
211,"au,gov,sa,barossa",17429,au,gov,sa,barossa,,,,,,,barossa.sa.gov.au
212,"au,gov,nsw,commerce",1131,au,gov,nsw,commerce,,,,,,,commerce.nsw.gov.au
213,"au,gov,vic,healthtranslations",15474,au,gov,vic,healthtranslations,,,,,,,healthtranslations.vic.gov.au
214,"au,gov,nsw,health,codeset",188,au,gov,nsw,health,codeset,,,,,,codeset.health.nsw.gov.au
215,"au,gov,vic,ministerfortransport",1,au,gov,vic,ministerfortransport,,,,,,,ministerfortransport.vic.gov.au
216,"au,gov,nsw,local-e,armidale-new",666,au,gov,nsw,local-e,armidale-new,,,,,,armidale-new.local-e.nsw.gov.au
217,"au,gov,vic,bushfirerecovery",3,au,gov,vic,bushfirerecovery,,,,,,,bushfirerecovery.vic.gov.au
218,"au,gov,nsw,schools,sws,edit",15334,au,gov,nsw,schools,sws,edit,,,,,edit.sws.schools.nsw.gov.au
219,"au,gov,nsw,schools,beverlyhn-p",156,au,gov,nsw,schools,beverlyhn-p,,,,,,beverlyhn-p.schools.nsw.gov.au
220,"au,gov,nsw,seoc",7,au,gov,nsw,seoc,,,,,,,seoc.nsw.gov.au
221,"au,gov,gbrmpa,kurrawa",5078,au,gov,gbrmpa,kurrawa,,,,,,,kurrawa.gbrmpa.gov.au
222,"au,gov,vic,firelevymonitor",148,au,gov,vic,firelevymonitor,,,,,,,firelevymonitor.vic.gov.au
223,"au,gov,mdba,getinvolved",152,au,gov,mdba,getinvolved,,,,,,,getinvolved.mdba.gov.au
224,"au,gov,sa,sasbc,m",52,au,gov,sa,sasbc,m,,,,,,m.sasbc.sa.gov.au
225,"au,gov,fedcourt,defenceappeals",77,au,gov,fedcourt,defenceappeals,,,,,,,defenceappeals.fedcourt.gov.au
226,"au,gov,nsw,cabonne,webservice",5,au,gov,nsw,cabonne,webservice,,,,,,webservice.cabonne.nsw.gov.au
227,"au,gov,nsw,planning,jrpp",310,au,gov,nsw,planning,jrpp,,,,,,jrpp.planning.nsw.gov.au
228,"au,gov,tas,fire,m",71,au,gov,tas,fire,m,,,,,,m.fire.tas.gov.au
229,"au,gov,wa,correctiveservices",16108,au,gov,wa,correctiveservices,,,,,,,correctiveservices.wa.gov.au
230,"au,gov,nsw,lls,centralwest",1580,au,gov,nsw,lls,centralwest,,,,,,centralwest.lls.nsw.gov.au
231,"au,gov,aph,cpa2001",7,au,gov,aph,cpa2001,,,,,,,cpa2001.aph.gov.au
232,"au,gov,nsw,esc,viewit",277,au,gov,nsw,esc,viewit,,,,,,viewit.esc.nsw.gov.au
233,"au,gov,qld,health,forms",1,au,gov,qld,health,forms,,,,,,forms.health.qld.gov.au
234,"au,gov,nsw,shoalhaven,cremweb",2600,au,gov,nsw,shoalhaven,cremweb,,,,,,cremweb.shoalhaven.nsw.gov.au
235,"au,gov,nsw,sutherlandshire",10953,au,gov,nsw,sutherlandshire,,,,,,,sutherlandshire.nsw.gov.au
236,"au,gov,sa,slsa,collections,published",1,au,gov,sa,slsa,collections,published,,,,,published.collections.slsa.sa.gov.au
237,"au,gov,vic,lsb,online",141,au,gov,vic,lsb,online,,,,,,online.lsb.vic.gov.au
238,"au,gov,nsw,schools,eleebana-p",254,au,gov,nsw,schools,eleebana-p,,,,,,eleebana-p.schools.nsw.gov.au
239,"au,gov,qld,smartjobs",34585,au,gov,qld,smartjobs,,,,,,,smartjobs.qld.gov.au
240,"au,gov,wa,landgate,firewatch-beta",6,au,gov,wa,landgate,firewatch-beta,,,,,,firewatch-beta.landgate.wa.gov.au
241,"au,gov,act,edevelopment",89,au,gov,act,edevelopment,,,,,,,edevelopment.act.gov.au
242,"au,gov,nsw,schools,beresfdrd-p",338,au,gov,nsw,schools,beresfdrd-p,,,,,,beresfdrd-p.schools.nsw.gov.au
